,Object,Accuracy,Frame No,Yolo_Time,FPS
0,person,0.9840214252471924,1,1.0110721588134766,0
1,person,0.9657217264175415,1,1.0110721588134766,0
2,person,0.9430498480796814,1,1.0110721588134766,0
3,person,0.9482819437980652,1,1.0110721588134766,0
4,person,0.9840214252471924,2,0.0,0
5,person,0.9657217264175415,2,0.0,0
6,person,0.9430498480796814,2,0.0,0
7,person,0.9482819437980652,2,0.0,0
8,person,0.9840214252471924,3,0.0,15
9,person,0.9657217264175415,3,0.0,15
10,person,0.9430498480796814,3,0.0,15
11,person,0.9482819437980652,3,0.0,15
12,person,0.9840214252471924,4,0.0,21
13,person,0.9657217264175415,4,0.0,21
14,person,0.9430498480796814,4,0.0,21
15,person,0.9482819437980652,4,0.0,21
16,person,0.9840214252471924,5,0.0,14
17,person,0.9657217264175415,5,0.0,14
18,person,0.9430498480796814,5,0.0,14
19,person,0.9482819437980652,5,0.0,14
20,person,0.9840214252471924,0,0.0,24
21,person,0.9657217264175415,0,0.0,24
22,person,0.9430498480796814,0,0.0,24
23,person,0.9482819437980652,0,0.0,24
24,person,0.985224723815918,1,0.754058837890625,14
25,person,0.962439239025116,1,0.754058837890625,14
26,person,0.9480978846549988,1,0.754058837890625,14
27,person,0.9354294538497925,1,0.754058837890625,14
28,person,0.985224723815918,2,0.0,1
29,person,0.962439239025116,2,0.0,1
30,person,0.9480978846549988,2,0.0,1
31,person,0.9354294538497925,2,0.0,1
32,person,0.985224723815918,3,0.0,14
33,person,0.962439239025116,3,0.0,14
34,person,0.9480978846549988,3,0.0,14
35,person,0.9354294538497925,3,0.0,14
36,person,0.985224723815918,4,0.0,23
37,person,0.962439239025116,4,0.0,23
38,person,0.9480978846549988,4,0.0,23
39,person,0.9354294538497925,4,0.0,23
40,person,0.985224723815918,5,0.0,20
41,person,0.962439239025116,5,0.0,20
42,person,0.9480978846549988,5,0.0,20
43,person,0.9354294538497925,5,0.0,20
44,person,0.985224723815918,0,0.0,20
45,person,0.962439239025116,0,0.0,20
46,person,0.9480978846549988,0,0.0,20
47,person,0.9354294538497925,0,0.0,20
48,person,0.9709557890892029,1,0.7340319156646729,18
49,person,0.9439905881881714,1,0.7340319156646729,18
50,person,0.8766193985939026,1,0.7340319156646729,18
51,person,0.851694643497467,1,0.7340319156646729,18
52,person,0.9709557890892029,2,0.0,0
53,person,0.9439905881881714,2,0.0,0
54,person,0.8766193985939026,2,0.0,0
55,person,0.851694643497467,2,0.0,0
56,person,0.9709557890892029,3,0.0,15
57,person,0.9439905881881714,3,0.0,15
58,person,0.8766193985939026,3,0.0,15
59,person,0.851694643497467,3,0.0,15
60,person,0.9709557890892029,4,0.0,15
61,person,0.9439905881881714,4,0.0,15
62,person,0.8766193985939026,4,0.0,15
63,person,0.851694643497467,4,0.0,15
64,person,0.9709557890892029,5,0.0,13
65,person,0.9439905881881714,5,0.0,13
66,person,0.8766193985939026,5,0.0,13
67,person,0.851694643497467,5,0.0,13
68,person,0.9709557890892029,0,0.0,15
69,person,0.9439905881881714,0,0.0,15
70,person,0.8766193985939026,0,0.0,15
71,person,0.851694643497467,0,0.0,15
72,person,0.8906858563423157,1,0.7020590305328369,15
73,person,0.9318246841430664,1,0.7020590305328369,15
74,person,0.6817689538002014,1,0.7020590305328369,15
75,person,0.7796729803085327,1,0.7020590305328369,15
76,person,0.8695504069328308,1,0.7020590305328369,15
77,person,0.8906858563423157,2,0.0,1
78,person,0.9318246841430664,2,0.0,1
79,person,0.6817689538002014,2,0.0,1
80,person,0.7796729803085327,2,0.0,1
81,person,0.8695504069328308,2,0.0,1
82,person,0.8906858563423157,3,0.0,15
83,person,0.9318246841430664,3,0.0,15
84,person,0.6817689538002014,3,0.0,15
85,person,0.7796729803085327,3,0.0,15
86,person,0.8695504069328308,3,0.0,15
87,person,0.8906858563423157,4,0.0,15
88,person,0.9318246841430664,4,0.0,15
89,person,0.6817689538002014,4,0.0,15
90,person,0.7796729803085327,4,0.0,15
91,person,0.8695504069328308,4,0.0,15
92,person,0.8906858563423157,5,0.0,12
93,person,0.9318246841430664,5,0.0,12
94,person,0.6817689538002014,5,0.0,12
95,person,0.7796729803085327,5,0.0,12
96,person,0.8695504069328308,5,0.0,12
97,person,0.8906858563423157,0,0.0,15
98,person,0.9318246841430664,0,0.0,15
99,person,0.6817689538002014,0,0.0,15
100,person,0.7796729803085327,0,0.0,15
101,person,0.8695504069328308,0,0.0,15
102,person,0.8751404285430908,1,0.7180581092834473,15
103,person,0.8648971319198608,1,0.7180581092834473,15
104,person,0.9014639854431152,1,0.7180581092834473,15
105,person,0.8904726505279541,1,0.7180581092834473,15
106,person,0.8751404285430908,2,0.0,1
107,person,0.8648971319198608,2,0.0,1
108,person,0.9014639854431152,2,0.0,1
109,person,0.8904726505279541,2,0.0,1
110,person,0.8751404285430908,3,0.0,15
111,person,0.8648971319198608,3,0.0,15
112,person,0.9014639854431152,3,0.0,15
113,person,0.8904726505279541,3,0.0,15
114,person,0.8751404285430908,4,0.0,15
115,person,0.8648971319198608,4,0.0,15
116,person,0.9014639854431152,4,0.0,15
117,person,0.8904726505279541,4,0.0,15
118,person,0.8751404285430908,5,0.0,16
119,person,0.8648971319198608,5,0.0,16
120,person,0.9014639854431152,5,0.0,16
121,person,0.8904726505279541,5,0.0,16
122,person,0.8751404285430908,0,0.0,20
123,person,0.8648971319198608,0,0.0,20
124,person,0.9014639854431152,0,0.0,20
125,person,0.8904726505279541,0,0.0,20
126,cell phone,0.6722406148910522,1,0.7250609397888184,20
127,cell phone,0.855396568775177,1,0.7250609397888184,20
128,person,0.5580452680587769,1,0.7250609397888184,20
129,person,0.6807228922843933,1,0.7250609397888184,20
130,person,0.6920734643936157,1,0.7250609397888184,20
131,cell phone,0.6722406148910522,2,0.0,1
132,cell phone,0.855396568775177,2,0.0,1
133,person,0.5580452680587769,2,0.0,1
134,person,0.6807228922843933,2,0.0,1
